Profundidade [m],COT [%],S1 [mg HC/g rocha],S2 [mg HC/g rocha],S3 [mg CO2/g rocha],Tmáx [°C],IH [mg HC/g COT,IO [mg CO2/g COT],Ro [%],IH Calculado [mg HC/g COT],Cluster,Carbono Ativo [%],Carbono Inerte [%],IH₀ Ativo [mg HC/g COT],Ro [%]_ajustado,Taxa de Transformação [v/v],COT₀ [%],S2₀ [mg HC/g rocha],Rₒ calculada [%],IH₀ [mg HC/g COT]
2991,1.4,0.43,0.74,3.7,295,52.8571,264.2857,,52.85714285714286,1,1.4000000000000004,-5.295409196883467e-16,52.85714285714285,0.2581304318357045,0.0,1.4,0.74,0.0,52.85714285714286
3000,1.22,0.22,0.38,3.7,315,31.1475,303.2787,,31.14754098360656,1,1.2200000000000004,-5.295409196883467e-16,31.147540983606547,0.26185273229526373,0.0,1.22,0.38,0.0,31.147540983606557
3006,1.24,0.3,0.44,4.38,311,35.4839,353.2258,,35.483870967741936,1,1.2400000000000004,-5.295409196883467e-16,35.48387096774192,0.26432806725988556,0.0,1.24,0.44,0.0,35.483870967741936
3012,1.17,0.23,0.43,4.03,314,36.7521,344.4445,,36.75213675213676,1,1.1700000000000004,-5.295409196883467e-16,36.75213675213674,0.2667984663588907,0.0,1.17,0.43,0.0,36.75213675213676
3018,1.19,0.24,0.43,4.0,318,36.1345,336.1344,,36.134453781512605,1,1.1900000000000004,-5.295409196883467e-16,36.13445378151259,0.26926394923753705,0.0,1.19,0.43,0.0,36.134453781512605
3024,1.11,0.17,0.28,4.64,316,25.2252,418018,,25.225225225225223,1,1.1100000000000005,-5.295409196883467e-16,25.225225225225216,0.27172453542402586,0.0,1.11,0.28,0.0,25.225225225225227
3030,1.08,0.09,0.19,3.91,335,17.5926,362037,,17.59259259259259,1,1.0800000000000005,-5.295409196883467e-16,17.592592592592585,0.2741802443304344,0.0,1.08,0.19,0.0,17.59259259259259
3036,1.02,0.17,0.28,4.71,315,27451,461.7647,,27.450980392156865,1,1.0200000000000005,-5.295409196883467e-16,27.450980392156854,0.2766310952536415,0.0,1.02,0.28,0.0,27.450980392156865
3042,1.01,0.21,0.31,4.38,311,30.6931,433.6634,,30.69306930693069,1,1.0100000000000005,-5.295409196883467e-16,30.693069306930678,0.2790771073762208,0.0,1.01,0.31,0.0,30.693069306930692
3054,0.8,0.12,0.17,3.32,321,21.25,415.0,,21.25,1,0.8000000000000006,-5.295409196883467e-16,21.249999999999986,0.28395469138373386,0.0,0.8,0.17,0.0,21.25
3060,0.93,0.14,0.27,3.44,323,29.0323,369.8925,,29.03225806451613,1,0.9300000000000006,-5.295409196883467e-16,29.03225806451611,0.28638630107040974,0.0,0.93,0.27,0.0,29.032258064516128
3072,974,0.14,0.29,3.74,322,29.7741,383.9836,,29.7741273100616,1,0.9740000000000005,-5.295409196883467e-16,29.77412731006158,0.2912352494820514,0.0,974,0.29,0.0,29.774127310061598
3090,683,0.13,0.22,4.66,319,32.2108,682284,,32.2108345534407,1,0.6830000000000006,-5.295409196883467e-16,32.21083455344068,0.2984732724315631,0.0,683,0.22,0.0,32.2108345534407
3228,0.73,0.27,0.55,4.3,315,75.3425,589.0411,,75.34246575342468,1,0.7300000000000005,-5.295409196883467e-16,75.3424657534246,0.3526030763794701,0.0,0.73,0.55,0.0,75.34246575342466
3507,912,0.22,0.51,3.83,361,55.9211,419.9561,,55.92105263157895,1,0.9120000000000006,-5.295409196883467e-16,55.92105263157891,0.4553060748097906,0.0,912,0.51,0.0,55.921052631578945
3516,1.03,0.26,0.96,5.37,397,93.2039,521.3592,,93.20388349514562,1,1.0300000000000005,-5.295409196883467e-16,93.20388349514559,0.45848139838735946,0.0,1.03,0.96,0.0,93.20388349514563
3684,0.87,0.2,0.53,4.13,402,60.9195,474.7126,,60.91954022988506,1,0.8700000000000006,-5.295409196883467e-16,60.919540229885015,0.5163074486923449,0.0,0.87,0.53,0.07599999999999962,60.91954022988506
3759,702,0.87,1.41,3.49,422,200.8547,497151,,200.85470085470087,1,0.7020000000000005,-5.295409196883467e-16,200.8547008547007,0.5412761442177363,0.0,702,1.41,0.43599999999999905,200.85470085470087
3786,0.75,1.03,1.62,3.54,424,216.0,472.0,,216.0,1,0.7500000000000006,-5.295409196883467e-16,215.99999999999983,0.5501430947027988,0.0,0.75,1.62,0.47199999999999953,216.0
3831,0.72,0.95,2.01,3.04,419,279.1667,422.2222,,279.16666666666663,1,0.7200000000000005,-5.295409196883467e-16,279.1666666666664,0.5647817613226689,0.0,0.72,2.01,0.3819999999999997,279.16666666666663
3876,552,0.95,1.29,2.47,289,233.6956,447.4638,,233.69565217391303,1,0.5520000000000006,-5.295409196883467e-16,233.69565217391278,0.5792494781413975,0.0,552,1.29,0.0,233.69565217391303
4002,603,1.04,1.53,2.55,289,253.7314,422.8856,,253.7313432835821,1,0.6030000000000005,-5.295409196883467e-16,253.73134328358185,0.6188827123499792,0.020691836000558794,0.6057801583618321,1.5623274228120017,0.0,257.9033666333496
4083,571,0.85,1.67,2.31,423,292.4694,404.5534,0.46,292.4693520140105,1,0.5710000000000005,-5.295409196883467e-16,292.46935201401027,0.6437076081862614,0.028877917367331918,0.5752707776565564,1.7196602053087964,0.45399999999999885,298.93056836887587
4131,0.68,1.08,1.7,2.78,406,250.0,408.8235,,250.0,1,0.6800000000000006,-5.295409196883467e-16,249.99999999999977,0.6581873024475513,0.03116463275987158,0.6847028313205292,1.7546840851224317,0.1479999999999997,256.2694361491567
4203,665,0.99,1.3,2.92,425,195.4887,439.0977,,195.48872180451127,1,0.6650000000000006,-5.295409196883467e-16,195.4887218045111,0.6795943963916127,0.03390063483204031,0.6689230860829344,1.3456172800341202,0.4899999999999993,201.16173414102917
4245,632,1.03,1.3,2.16,426,205.6962,341.7722,,205.69620253164555,1,0.6320000000000006,-5.295409196883467e-16,205.69620253164538,0.6919131529472082,0.036150102178343246,0.6361931647579908,1.3487577297440787,0.5079999999999991,212.00443583155268
4287,0.67,0.67,1.07,2.87,424,159.7015,428.3582,,159.7014925373134,1,0.6700000000000006,-5.295409196883467e-16,159.7014925373133,0.7041106258236116,0.03948493644367801,0.6737827661318445,1.1139856526958656,0.47199999999999953,165.33305817410636
4317,671,0.62,0.93,2.94,296,138.5991,438152,,138.59910581222056,1,0.6710000000000006,-5.295409196883467e-16,138.59910581222044,0.7127501638871951,0.04275241762572435,0.6745720522304423,0.9715354910516535,0.0,144.02249364457288
4347,711,0.72,1.09,3.08,424,153.3052,433.1927,,153.30520393811534,1,0.7110000000000005,-5.295409196883467e-16,153.30520393811523,0.7213298708748681,0.0468965091320932,0.7156123834485584,1.1436323656809124,0.47199999999999953,159.8117070263251
4407,694,0.77,1.29,2.91,427,185879,419.3084,,185.87896253602307,1,0.6940000000000005,-5.295409196883467e-16,185.87896253602293,0.7383130667403996,0.05820915029612195,0.7008568548270374,1.3697308700818311,0.5259999999999989,195.436608866423
4443,0.63,0.58,1.09,3.34,432,173.0159,530.1587,,173.015873015873,1,0.6300000000000006,-5.295409196883467e-16,173.0158730158729,0.7483923473187613,0.06714091621847018,0.6367467740795386,1.1684508613899844,0.6159999999999997,183.50322435147956
4473,0.72,0.56,0.81,3.54,431,112.5,491.6667,,112.50000000000004,1,0.7200000000000005,-5.295409196883467e-16,112.49999999999991,0.7567295573664357,0.07590191340071684,0.7257216083056199,0.8765303291351154,0.597999999999999,120.78051956887386
4497,0.8,0.41,1.08,2.74,437,135.0,342.5,,135.0,1,0.8000000000000006,-5.295409196883467e-16,134.9999999999999,0.7633591637557426,0.08380259332757589,0.8084955325256102,1.1787852619256995,0.7059999999999995,145.79984854627008
4521,0.94,0.85,1.5,5.51,423,159.5745,586.1702,,159.5744680851064,1,0.9400000000000005,-5.295409196883467e-16,159.5744680851063,0.7699534826518892,0.0925118065616104,0.9531506097079134,1.6529140663710868,0.45399999999999885,173.41583266443183
4533,0.78,0.56,0.97,4.47,433,124359,573.0769,,124.35897435897436,1,0.7800000000000006,-5.295409196883467e-16,124.35897435897427,0.7732375262916111,0.09717268659923661,0.788978622374166,1.0744025857461168,0.6339999999999995,136.17638745560217
