Profundidade,COT,S1,S2,S3,Tmax,Ro,IH,IO
3123.80,0.72,,,,,,,
3141.80,0.61,,,,,,,
3159.80,0.50,,,,,,,
3177.80,0.61,,,,,,,
3195.80,0.61,,,,,,,
3231.80,0.60,,,,,,,
3249.80,0.66,,,,,,,
3267.80,0.83,,,,,,,
3285.80,0.62,,,,,,,
3288.80,0.72,0.20,0.33,0.19,443.00,,45.83,26.39
3303.80,0.26,0.10,0.10,0.30,,,38.46,115.38
3336.80,0.72,0.20,0.20,0.20,,,27.78,27.78
3369.80,0.52,,,,,,,
